Auction Date,Property Address,Final Judgment,Assessed Value,Plaintiff Max Bid,Case #,Parcel ID,Case Link,Parcel Link
08/19/2026 11:00 AM ET,"1507 TERRA VERDE WAY OCOEE, 34761","$623,696.96","$401,266.00",Hidden,2023-CA-012054-O,282204016000730,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2023-CA-012054-O&bypassPage=1,https://pcpao.gov/Parcel-Details/282204016000730
08/19/2026 11:00 AM ET,"1421 W YALE ST ORLANDO, 32804","$377,742.00","$324,040.00",Hidden,2023-CA-012880-O,292214146806191,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2023-CA-012880-O&bypassPage=1,https://pcpao.gov/Parcel-Details/292214146806191
08/19/2026 11:00 AM ET,"3411 & 3417 WARREN PARK RD ORLANDO, 32812","$134,221.83","$130,270.00",Hidden,2025-CA-003454-O,MULTIPLE,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025-CA-003454-O&bypassPage=1,https://pcpao.gov/Parcel-Details/MULTIPLE
08/20/2026 11:00 AM ET,"4502 PACER CT ORLANDO, 32818","$56,311.94","$252,366.00",Hidden,2023-CC-020740-O,282201372200390,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2023-CC-020740-O&bypassPage=1,https://pcpao.gov/Parcel-Details/282201372200390
08/20/2026 11:00 AM ET,"4727 OKEEFE CT ORLANDO, 32808","$242,286.67","$173,600.00",Hidden,2024-CA-007652-O,292207517407150,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2024-CA-007652-O&bypassPage=1,https://pcpao.gov/Parcel-Details/292207517407150
08/20/2026 11:00 AM ET,"1135 GARRETT GILLIAM DR OCOEE, 34761","$241,382.78","$326,912.00",Hidden,2025-CA-008323-O,282133555600510,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025-CA-008323-O&bypassPage=1,https://pcpao.gov/Parcel-Details/282133555600510
08/20/2026 11:00 AM ET,"7125 TURQUOISE LN ORLANDO, 32807","$284,088.93","$230,270.00",Hidden,2025-CA-011004-O,302214864613100,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025-CA-011004-O&bypassPage=1,https://pcpao.gov/Parcel-Details/302214864613100
08/20/2026 11:00 AM ET,"1239 WYNDHAM PINE DR APOPKA, 32712","$10,534.59","$429,370.00","$10,634.62",2026-CA-001057-O,282033709900330,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2026-CA-001057-O&bypassPage=1,https://pcpao.gov/Parcel-Details/282033709900330
08/20/2026 11:00 AM ET,"17154 SALTY DOG RD WINTER GARDEN, 34787","$9,842.95","$537,380.00","$9,842.95",2026-CC-009844-O,272306890402390,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2026-CC-009844-O&bypassPage=1,https://pcpao.gov/Parcel-Details/272306890402390
08/24/2026 11:00 AM ET,"300 COUNTRY LANDING BLVD APOPKA, 32703","$90,150.78","$151,759.00",Hidden,2025-CA-006492-O,282108180601110,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025-CA-006492-O&bypassPage=1,https://pcpao.gov/Parcel-Details/282108180601110
08/24/2026 11:00 AM ET,"3830 SOUTHPOINTE DR UNIT L-2 ORLANDO, 32822","$23,814.96","$141,885.00","$23,814.96",2025-CC-027227-O,302310818216102,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025-CC-027227-O&bypassPage=1,https://pcpao.gov/Parcel-Details/302310818216102
08/25/2026 11:00 AM ET,"1310 AGUACATE CT ORLANDO, 32837","$1,104,572.17","$256,055.00",Hidden,2021-CA-000100-O,292427822800130,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2021-CA-000100-O&bypassPage=1,https://pcpao.gov/Parcel-Details/292427822800130
08/25/2026 11:00 AM ET,"3327 ROYAL ST WINTER PARK, 32792","$375,017.54","$247,295.00",Hidden,2022-CA-002098-O,302210173600050,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2022-CA-002098-O&bypassPage=1,https://pcpao.gov/Parcel-Details/302210173600050
08/25/2026 11:00 AM ET,"7878 TANBIER DR ORLANDO, 32818","$7,195.80","$326,310.00",Hidden,2024-CA-008450-O,282202756500140,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2024-CA-008450-O&bypassPage=1,https://pcpao.gov/Parcel-Details/282202756500140
08/25/2026 11:00 AM ET,"10613 ABINGDON CHASE ORLANDO, 32817","$365,771.53","$169,439.00",Hidden,2025-CA-002889-O,312208884100390,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025-CA-002889-O&bypassPage=1,https://pcpao.gov/Parcel-Details/312208884100390
08/26/2026 11:00 AM ET,"2229 N HIAWASSEE RD ORLANDO, 32818","$223,870.98","$166,478.00",Hidden,2022-CA-007893-O,282213352402010,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2022-CA-007893-O&bypassPage=1,https://pcpao.gov/Parcel-Details/282213352402010
08/26/2026 11:00 AM ET,"1820 W GRANT ST ORLANDO, 32805","$295,273.50","$228,690.00",Hidden,2024-CA-006365-O,292303743503060,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2024-CA-006365-O&bypassPage=1,https://pcpao.gov/Parcel-Details/292303743503060
08/26/2026 11:00 AM ET,"7470 BENTONSHIRE AVE WINDERMERE, 34786","$63,359.26","$306,951.00",Hidden,2025-CA-012081-O,TIMESHARE,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025-CA-012081-O&bypassPage=1,https://pcpao.gov/Parcel-Details/TIMESHARE
08/26/2026 11:00 AM ET,"10514 LINGER LN ORLANDO, 32821","$9,457.31","$259,110.00",Hidden,2025-CC-005115-O,292407472001360,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025-CC-005115-O&bypassPage=1,https://pcpao.gov/Parcel-Details/292407472001360
08/26/2026 11:00 AM ET,"918 LAKESIDE ESTATES DR APOPKA, 32703","$11,586.34","$413,120.00",Hidden,2025-CC-011139-O,282117483902060,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025-CC-011139-O&bypassPage=1,https://pcpao.gov/Parcel-Details/282117483902060
08/26/2026 11:00 AM ET,"4833 CYPRESS WOODS DR APT 4301 ORLANDO, 32811","$17,965.90","$189,800.00",Hidden,2025-CC-017771-O,292318832004301,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025-CC-017771-O&bypassPage=1,https://pcpao.gov/Parcel-Details/292318832004301
08/26/2026 11:00 AM ET,"2942 S SEMORAN BLVD UNIT 1103 ORLANDO, 32822","$10,640.00","$104,908.00",Hidden,2025-CC-017877-O,302304127111030,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025-CC-017877-O&bypassPage=1,https://pcpao.gov/Parcel-Details/302304127111030
08/26/2026 11:00 AM ET,"2149 MONTE CARLO TRL ORLANDO, 32805","$186,797.95","$105,640.00",Hidden,2026-CA-001031-O,TIMESHARE,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2026-CA-001031-O&bypassPage=1,https://pcpao.gov/Parcel-Details/TIMESHARE
08/27/2026 11:00 AM ET,"3934 ROCK HILL LOOP APOPKA, 32712","$615,539.40","$544,124.00",Hidden,2025-CA-005234-O,282017742406570,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025-CA-005234-O&bypassPage=1,https://pcpao.gov/Parcel-Details/282017742406570
08/27/2026 11:00 AM ET,"2810 PALM ISLE WAY ORLANDO, 32829","$86,199.71","$138,619.00",Hidden,2025-CA-005592-O,302312234100350,https://orange.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=2025-CA-005592-O&bypassPage=1,https://pcpao.gov/Parcel-Details/302312234100350
